GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
545.2042,529101,112,6,2018-04-06 00:00:00,78.0595
726.5565,529201,112,10,2018-04-06 00:00:00,154.0669
246.9563,530101,112,3,2018-04-06 00:00:00,34.5904
7241.4418,531301,112,41,2018-04-06 00:00:00,866.8482
5938.4599,531401,112,31,2018-04-06 00:00:00,565.9506
976.6235,532101,112,9,2018-04-06 00:00:00,151.533
1020.1892,532102,112,9,2018-04-06 00:00:00,115.286
1582.5917,532201,112,13,2018-04-06 00:00:00,183.5953
2928.2187,532202,112,23,2018-04-06 00:00:00,394.9459
1188.3407,534101,112,13,2018-04-06 00:00:00,208.2093
1350.2239,568305,112,12,2018-04-06 00:00:00,116.2936
3015.0411,568306,112,27,2018-04-06 00:00:00,450.9528
2124.7586,568401,112,23,2018-04-06 00:00:00,267.3627
3917.3294,568402,112,33,2018-04-06 00:00:00,405.1108
14008.5806,568403,112,70,2018-04-06 00:00:00,1234.2823
5823.9614,568404,112,33,2018-04-06 00:00:00,405.2102
5590.8689,568405,112,35,2018-04-06 00:00:00,757.4282
3698.4313,568406,112,23,2018-04-06 00:00:00,407.7118
558.1973,569301,112,4,2018-04-06 00:00:00,52.8465
476.6162,569302,112,2,2018-04-06 00:00:00,70.1346
731.1069,570201,112,7,2018-04-06 00:00:00,85.9494
512.5137,572101,112,10,2018-04-06 00:00:00,78.4324
1122.8468,572201,112,14,2018-04-06 00:00:00,139.628
1486.1561,573101,112,14,2018-04-06 00:00:00,204.3166
665.1783,573201,112,5,2018-04-06 00:00:00,107.5654
401.92,574301,112,6,2018-04-06 00:00:00,47.4739
41.7355,574401,112,1,2018-04-06 00:00:00,7.1867
1384.0685,575101,112,8,2018-04-06 00:00:00,162.3843
2147.7763,575201,112,16,2018-04-06 00:00:00,211.8168
685.4167,576101,112,4,2018-04-06 00:00:00,53.4714
187.8695,577301,112,1,2018-04-06 00:00:00,15.3526
1547.9683,577402,112,8,2018-04-06 00:00:00,171.434
2808.1778,578301,112,18,2018-04-06 00:00:00,247.5649
450.0238,578401,112,4,2018-04-06 00:00:00,56.0531
3316.0951,579301,112,30,2018-04-06 00:00:00,368.8933
3476.6887,579401,112,19,2018-04-06 00:00:00,281.5224
562.6446,580301,112,3,2018-04-06 00:00:00,52.7293
400.8079,580403,112,2,2018-04-06 00:00:00,50.169
1104.9336,580404,112,5,2018-04-06 00:00:00,111.1513
1834.7709,581301,112,32,2018-04-06 00:00:00,289.1463
3403.722,581401,112,38,2018-04-06 00:00:00,440.3574
86.7342,583401,112,1,2018-04-06 00:00:00,17.1769
1504.3453,584301,112,7,2018-04-06 00:00:00,265.406
594.8006,585301,112,9,2018-04-06 00:00:00,102.7442
1126.7049,585401,112,18,2018-04-06 00:00:00,240.8752
1003.8621,587301,112,25,2018-04-06 00:00:00,225.0909
1462.9663,587401,112,29,2018-04-06 00:00:00,348.6266
409.5728,547301,112,6,2018-04-06 00:00:00,60.0621
1614.4838,547401,112,17,2018-04-06 00:00:00,174.2171
868.403,549301,112,7,2018-04-06 00:00:00,87.1051
197.3167,549401,112,2,2018-04-06 00:00:00,12.6151
2603.3797,550301,112,23,2018-04-06 00:00:00,288.3405
4562.2433,550302,112,23,2018-04-06 00:00:00,387.4756
2986.2947,550303,112,13,2018-04-06 00:00:00,211.1776
757.4149,550304,112,7,2018-04-06 00:00:00,169.7049
1190.9622,550401,112,11,2018-04-06 00:00:00,161.938
4795.2962,550402,112,19,2018-04-06 00:00:00,412.8294
3841.469,550403,112,19,2018-04-06 00:00:00,264.1599
2817.8969,550404,112,21,2018-04-06 00:00:00,254.7985
469.4421,551101,112,5,2018-04-06 00:00:00,58.0534
652.0471,551201,112,9,2018-04-06 00:00:00,109.2172
1859.1573,552101,112,21,2018-04-06 00:00:00,337.2346
689.9797,552102,112,8,2018-04-06 00:00:00,43.6384
3620.432,552201,112,48,2018-04-06 00:00:00,370.402
2322.1269,552202,112,24,2018-04-06 00:00:00,392.7622
3716.5781,553101,112,37,2018-04-06 00:00:00,422.7294
2520.8517,553102,112,13,2018-04-06 00:00:00,303.6733
4800.3549,553103,112,34,2018-04-06 00:00:00,447.3277
3402.9939,553104,112,27,2018-04-06 00:00:00,350.1085
490.3378,553105,112,6,2018-04-06 00:00:00,117.6319
5311.5811,553201,112,38,2018-04-06 00:00:00,443.5785
6272.9684,553202,112,46,2018-04-06 00:00:00,583.9075
5516.1226,553203,112,44,2018-04-06 00:00:00,558.6063
2622.9404,553204,112,16,2018-04-06 00:00:00,347.3112
2960.6897,611204,112,27,2018-04-06 00:00:00,373.5872
3682.1475,611205,112,25,2018-04-06 00:00:00,342.6005
3022.6442,611206,112,26,2018-04-06 00:00:00,239.2799
3170.1537,612101,112,18,2018-04-06 00:00:00,259.7368
1555.6686,612102,112,11,2018-04-06 00:00:00,238.8381
1447.5445,612103,112,8,2018-04-06 00:00:00,134.9486
2001.4921,612104,112,15,2018-04-06 00:00:00,311.8068
1915.0785,588301,112,18,2018-04-06 00:00:00,392.4101
139.7514,589401,112,2,2018-04-06 00:00:00,16.8499
101.5383,590101,112,2,2018-04-06 00:00:00,88.5342
1632.2891,591101,112,26,2018-04-06 00:00:00,234.4218
673.8848,591201,112,10,2018-04-06 00:00:00,181.0065
671.9065,592101,112,7,2018-04-06 00:00:00,131.5312
355.1737,593101,112,5,2018-04-06 00:00:00,107.4783
536.6389,593102,112,7,2018-04-06 00:00:00,87.9306
1295.6237,593103,112,19,2018-04-06 00:00:00,302.2625
2076.7676,593104,112,24,2018-04-06 00:00:00,294.3574
3568.9234,593201,112,46,2018-04-06 00:00:00,485.0526
2838.6933,593202,112,57,2018-04-06 00:00:00,583.8085
2784.5496,593203,112,35,2018-04-06 00:00:00,374.5096
1113.9266,593204,112,13,2018-04-06 00:00:00,219.5606
341.6159,595301,112,3,2018-04-06 00:00:00,24.6151
8.8776,597301,112,1,2018-04-06 00:00:00,1.139
1467.8017,597302,112,20,2018-04-06 00:00:00,195.6901
2389.0921,597401,112,33,2018-04-06 00:00:00,274.5593
757.5616,597402,112,6,2018-04-06 00:00:00,80.3459
3461.5131,598101,112,25,2018-04-06 00:00:00,297.8092
916.6859,598102,112,10,2018-04-06 00:00:00,97.8337
5764.3519,598201,112,31,2018-04-06 00:00:00,516.0957
4257.8616,598202,112,27,2018-04-06 00:00:00,321.982
629.1223,599301,112,3,2018-04-06 00:00:00,95.1758
485.2269,599401,112,3,2018-04-06 00:00:00,89.7308
1274.3971,600301,112,9,2018-04-06 00:00:00,89.0397
536.6676,600302,112,7,2018-04-06 00:00:00,63.8886
197.3905,600401,112,1,2018-04-06 00:00:00,31.8542
1623.2832,600402,112,10,2018-04-06 00:00:00,142.0
3006.2874,601301,112,26,2018-04-06 00:00:00,517.3492
