TYPE,ROADSECT_NAME,SECT10,SECT10_NAME,ROADSECT_FROM,ROAD_NO,ROADSECT_TO,ROADSECT_ID,ROADLENGTH,DIRNAME,JAM_SPEED
3,金葵中路,10,大鹏新区,金业大道,7201,坪葵路,720101,728,东-西,20
3,金葵中路,10,大鹏新区,坪葵路,7202,金业大道,720201,725,西-东,20
4,延安路,10,大鹏新区,金葵东路,7211,金业大道,721101,1413,东-西,15
4,延安路,10,大鹏新区,金业大道,7212,金葵东路,721201,1415,西-东,15
3,金岭路,10,大鹏新区,金业大道,7221,坪葵路,722101,922,东-西,20
3,金岭路,10,大鹏新区,坪葵路,7222,金业大道,722201,910,西-东,20
3,金业大道,10,大鹏新区,葵鹏路,7233,金葵中路,723301,1176,南-北,20
3,金业大道,10,大鹏新区,金葵中路,7233,延安路,723302,514,南-北,20
3,金业大道,10,大鹏新区,延安路,7233,金岭路,723303,1007,南-北,20
3,金业大道,10,大鹏新区,金岭路,7234,延安路,723401,993,北-南,20
3,金业大道,10,大鹏新区,延安路,7234,金葵中路,723402,512,北-南,20
3,金业大道,10,大鹏新区,金葵中路,7234,葵鹏路,723403,1188,北-南,20
4,龙岐路,10,大鹏新区,龙岐路,7241,葵南路,724101,1068,东-西,15
4,龙岐路,10,大鹏新区,葵南路,7242,龙岐路,724201,1068,西-东,15
4,水头路,10,大鹏新区,海滨北路,7273,葵南路,727301,1250,南-北,15
4,水头路,10,大鹏新区,葵南路,7274,海滨北路,727401,1250,北-南,15
4,葵南路,10,大鹏新区,龙岐路,7303,滨海二路,730301,990,南-北,15
4,葵南路,10,大鹏新区,滨海二路,7303,公园路,730302,2090,南-北,15
4,葵南路,10,大鹏新区,公园路,7304,滨海二路,730401,2082,北-南,15
4,葵南路,10,大鹏新区,滨海二路,7304,龙岐路,730402,997,北-南,15
4,迎宾路,10,大鹏新区,公园路,7311,中山路,731101,1221,东-西,15
4,迎宾路,10,大鹏新区,中山路,7311,鹏飞路,731102,1124,东-西,15
4,迎宾路,10,大鹏新区,鹏飞路,7312,中山路,731201,1120,西-东,15
4,迎宾路,10,大鹏新区,中山路,7312,公园路,731202,1225,西-东,15
4,中山路,10,大鹏新区,公园路(大鹏),7321,迎宾路,732101,1818,东-西,15
4,中山路,10,大鹏新区,迎宾路,7322,公园路(大鹏),732201,1796,西-东,15
3,红岗路,2,罗湖区,粤宝路,7353,清平高速公路,735301,2598,南-北,20
3,红岗路,2,罗湖区,清平高速公路,7354,粤宝路,735401,2352,北-南,20
3,留仙三路,5,宝安区,南光高速公路,7363,洪浪北二路,736301,383,南-北,20
3,留仙三路,5,宝安区,洪浪北二路,7363,创业二路,736302,477,南-北,20
3,留仙三路,5,宝安区,创业二路,7364,洪浪北二路,736401,476,北-南,20
3,留仙三路,5,宝安区,洪浪北二路,7364,南光高速公路,736402,400,北-南,20
3,惠盐南路,6,龙岗区,北山道,7373,惠盐中路,737301,4273,南-北,20
3,惠盐南路,6,龙岗区,惠盐中路,7374,北山道,737401,4252,北-南,20
3,楼岗大道,7,光明新区,南环大道,7381,田园路,738101,403,东-西,20
3,楼岗大道,5,宝安区,田园路,7381,松岗大道,738102,945,东-西,20
3,楼岗大道,5,宝安区,松岗大道,7381,广深公路,738103,1026,东-西,20
3,楼岗大道,5,宝安区,广深公路,7382,松岗大道,738201,1042,西-东,20
3,楼岗大道,5,宝安区,松岗大道,7382,田园路,738202,949,西-东,20
3,楼岗大道,7,光明新区,田园路,7382,南环大道,738203,391,西-东,20
3,新玉路,7,光明新区,南光高速公路,7391,广深高速公路,739101,4163,东-西,20
3,新玉路,7,光明新区,广深高速公路,7392,南光高速公路,739201,4124,西-东,20
3,洲石玉支线,5,宝安区,洲石公路,7403,石岩湖路,740301,2482,南-北,20
3,洲石玉支线,7,光明新区,石岩湖路,7403,根玉路,740302,2366,南-北,20
3,洲石玉支线,7,光明新区,根玉路,7404,石岩湖路,740401,2369,北-南,20
3,洲石玉支线,5,宝安区,石岩湖路,7404,洲石公路,740402,2488,北-南,20
3,观光路,9,龙华区,高尔夫大道,7411,桂花路,741101,1791,东-西,20
3,观光路,9,龙华区,桂花路,7411,泗黎路,741102,2030,东-西,20
3,观光路,9,龙华区,泗黎路,7411,福前路,741103,1750,东-西,20
3,观光路,9,龙华区,福前路,7411,浪荣路,741104,3783,东-西,20
3,观光路,7,光明新区,浪荣路,7411,光侨大道,741105,4503,东-西,20
3,观光路,7,光明新区,光侨大道,7411,光明大道,741106,2725,东-西,20
3,观光路,7,光明新区,光明大道,7412,光侨大道,741201,2604,西-东,20
3,观光路,7,光明新区,光侨大道,7412,浪荣路,741202,4673,西-东,20
3,观光路,9,龙华区,浪荣路,7412,福前路,741203,3762,西-东,20
3,观光路,9,龙华区,福前路,7412,泗黎路,741204,1784,西-东,20
3,观光路,9,龙华区,泗黎路,7412,桂花路,741205,2243,西-东,20
3,观光路,9,龙华区,桂花路,7412,高尔夫大道,741206,1526,西-东,20
3,龙兴北路,8,坪山区,龙兴南路,7423,坪梓路,742301,2506,南-北,20
3,龙兴北路,8,坪山区,坪梓路,7424,龙兴南路,742401,2506,北-南,20
3,锦龙大道,8,坪山区,八号路,7433,坪山大道,743301,1600,南-北,20
3,锦龙大道,8,坪山区,坪山大道,7433,金碧路(坪山),743302,766,南-北,20
3,锦龙大道,6,龙岗区,金碧路(坪山),7433,宝龙大道,743303,1466,南-北,20
3,锦龙大道,6,龙岗区,宝龙大道,7433,南同大道,743304,557,南-北,20
3,锦龙大道,6,龙岗区,南同大道,7434,宝龙大道,743401,562,北-南,20
3,锦龙大道,6,龙岗区,宝龙大道,7434,金碧路(坪山),743402,1450,北-南,20
3,锦龙大道,8,坪山区,金碧路(坪山),7434,坪山大道,743403,781,北-南,20
3,锦龙大道,8,坪山区,坪山大道,7434,八号路,743404,1601,北-南,20
3,平龙路,6,龙岗区,平龙西路,7451,凤凰大道,745101,1493,东-西,20
3,平龙路,6,龙岗区,凤凰大道,7451,益民路,745102,1205,东-西,20
3,平龙路,6,龙岗区,益民路,7451,平新路,745103,533,东-西,20
3,平龙路,6,龙岗区,平新路,7451,工业大道,745104,925,东-西,20
3,平龙路,6,龙岗区,工业大道,7451,中环大道,745105,468,东-西,20
3,平龙路,6,龙岗区,中环大道,7451,嘉湖路,745106,722,东-西,20
3,平龙路,6,龙岗区,嘉湖路,7451,环观南路,745107,962,东-西,20
3,平龙路,6,龙岗区,环观南路,7452,嘉湖路,745201,958,西-东,20
3,平龙路,6,龙岗区,嘉湖路,7452,中环大道,745202,732,西-东,20
3,平龙路,6,龙岗区,中环大道,7452,工业大道,745203,472,西-东,20
3,平龙路,6,龙岗区,工业大道,7452,平新路,745204,920,西-东,20
3,平龙路,6,龙岗区,平新路,7452,益民路,745205,543,西-东,20
3,平龙路,6,龙岗区,益民路,7452,凤凰大道,745206,1194,西-东,20
3,平龙路,6,龙岗区,凤凰大道,7452,平龙西路,745207,1495,西-东,20
3,五和大道,6,龙岗区,梅坂大道,7463,雅园路,746301,1844,南-北,20
3,五和大道,6,龙岗区,雅园路,7463,永香西路,746302,635,南-北,20
3,五和大道,6,龙岗区,永香西路,7463,布龙路,746303,558,南-北,20
3,五和大道,6,龙岗区,布龙路,7463,吉华路,746304,665,南-北,20
3,五和大道,6,龙岗区,吉华路,7463,贝尔路,746305,946,南-北,20
3,五和大道,6,龙岗区,贝尔路,7463,稼先路,746306,1077,南-北,20
3,五和大道,6,龙岗区,稼先路,7463,雪岗北路,746307,1499,南-北,20
3,五和大道,9,龙岗区,雪岗北路,7463,坂李大道,746308,464,南-北,20
3,五和大道,6,龙岗区,坂李大道,7463,清新路,746309,951,南-北,20
3,五和大道,9,龙华区,清新路,7463,环观南路,746310,2334,南-北,20
3,五和大道,9,龙华区,环观南路,7464,清新路,746401,2316,北-南,20
3,五和大道,6,龙岗区,清新路,7464,坂李大道,746402,979,北-南,20
3,五和大道,9,龙华区,坂李大道,7464,雪岗北路,746403,464,北-南,20
3,五和大道,6,龙岗区,雪岗北路,7464,稼先路,746404,1502,北-南,20
3,五和大道,6,龙岗区,稼先路,7464,贝尔路,746405,1080,北-南,20
3,五和大道,6,龙岗区,贝尔路,7464,吉华路,746406,938,北-南,20
3,五和大道,6,龙岗区,吉华路,7464,布龙路,746407,738,北-南,20
3,五和大道,6,龙岗区,布龙路,7464,永香西路,746408,480,北-南,20
3,五和大道,6,龙岗区,永香西路,7464,雅园路,746409,642,北-南,20
3,五和大道,6,龙岗区,雅园路,7464,梅坂大道,746410,1822,北-南,20
3,坪葵路,10,大鹏新区,盐坝高速,7473,金葵中路,747301,594,南-北,20
3,坪葵路,10,大鹏新区,金葵中路,7473,金岭路,747302,1408,南-北,20
3,坪葵路,10,大鹏新区,金岭路,7473,坪头岭登山路,747303,3011,南-北,20
3,坪葵路,8,坪山区,坪头岭登山路,7473,罗葵路,747304,2216,南-北,20
3,坪葵路,8,坪山区,罗葵路,7473,比亚迪路,747305,1373,南-北,20
3,坪葵路,8,坪山区,比亚迪路,7473,东纵路,747306,534,南-北,20
3,坪葵路,8,坪山区,东纵路,7474,比亚迪路,747401,517,北-南,20
3,坪葵路,8,坪山区,比亚迪路,7474,罗葵路,747402,1428,北-南,20
3,坪葵路,8,坪山区,罗葵路,7474,坪头岭登山路,747403,2567,北-南,20
3,坪葵路,10,大鹏新区,坪头岭登山路,7474,金岭路,747404,2612,北-南,20
3,坪葵路,10,大鹏新区,金岭路,7474,金葵中路,747405,1418,北-南,20
3,坪葵路,10,大鹏新区,金葵中路,7474,盐坝高速,747406,600,北-南,20
3,沙江路,5,宝安区,松岗大道,7481,松罗路,748101,857,东-西,20
3,沙江路,5,宝安区,松罗路,7481,广深公路,748102,1319,东-西,20
3,沙江路,5,宝安区,广深公路,7481,宝安大道,748103,1334,东-西,20
3,沙江路,5,宝安区,宝安大道,7481,广深高速公路,748104,1127,东-西,20
